Bandit,Reward,Algorithm
3,1.7413797254980223,ThompsonSampling
2,2.6883596981391427,ThompsonSampling
0,1.712481940641689,ThompsonSampling
1,1.9457238228215228,ThompsonSampling
3,4.20605661584139,ThompsonSampling
3,5.688095523273793,ThompsonSampling
3,4.015022507041426,ThompsonSampling
3,3.9491959838797,ThompsonSampling
3,4.557722879783381,ThompsonSampling
3,3.942934171870222,ThompsonSampling
3,4.983411913351981,ThompsonSampling
0,0.5111273667084324,ThompsonSampling
3,5.169819955170393,ThompsonSampling
3,5.122524253088626,ThompsonSampling
3,4.603425117379936,ThompsonSampling
2,3.1522566263727785,ThompsonSampling
3,3.7243363606649207,ThompsonSampling
3,4.673412951514572,ThompsonSampling
3,4.12859726960364,ThompsonSampling
3,4.807234054184375,ThompsonSampling
3,1.4521220040461258,ThompsonSampling
3,4.411997153778857,ThompsonSampling
2,3.879638767899392,ThompsonSampling
3,4.274226600509708,ThompsonSampling
3,4.518386917718506,ThompsonSampling
3,3.8736640547390104,ThompsonSampling
3,2.9980731730247827,ThompsonSampling
3,2.888309100905154,ThompsonSampling
3,4.708810087049587,ThompsonSampling
3,4.135108182525533,ThompsonSampling
3,2.1223258231959568,ThompsonSampling
3,5.307632441416273,ThompsonSampling
3,2.653216855692687,ThompsonSampling
3,4.162315770694995,ThompsonSampling
3,2.6552802450570345,ThompsonSampling
3,5.300115102514371,ThompsonSampling
3,2.8048020870481816,ThompsonSampling
3,2.422733775722448,ThompsonSampling
3,4.514152739103094,ThompsonSampling
2,2.524715907920183,ThompsonSampling
3,4.071654325100528,ThompsonSampling
3,3.530847740686885,ThompsonSampling
3,4.087390962585189,ThompsonSampling
3,4.455047565955677,ThompsonSampling
3,4.871502852655707,ThompsonSampling
3,3.886625079261438,ThompsonSampling
3,2.7463106278672065,ThompsonSampling
3,6.705420272698748,ThompsonSampling
2,3.502076118772016,ThompsonSampling
3,4.6704887285751795,ThompsonSampling
3,4.466767714441878,ThompsonSampling
3,6.574281738725672,ThompsonSampling
3,4.526790338740637,ThompsonSampling
3,3.479540508785859,ThompsonSampling
3,4.797978651202322,ThompsonSampling
3,3.448203236625521,ThompsonSampling
3,3.409343332203617,ThompsonSampling
3,4.798997808412225,ThompsonSampling
3,4.157724252671724,ThompsonSampling
3,3.310776552549825,ThompsonSampling
3,4.392632938651094,ThompsonSampling
3,4.392674751643764,ThompsonSampling
3,3.5966924574206125,ThompsonSampling
3,-0.17069349090928032,ThompsonSampling
3,4.777494504690715,ThompsonSampling
3,4.632053729988301,ThompsonSampling
3,3.787729940875865,ThompsonSampling
3,4.348328622619899,ThompsonSampling
3,3.0738645389523445,ThompsonSampling
3,5.098685048226678,ThompsonSampling
2,2.5252371410661465,ThompsonSampling
3,4.5469211807736105,ThompsonSampling
3,4.1811013355235875,ThompsonSampling
3,3.117096667613764,ThompsonSampling
3,3.423670012760886,ThompsonSampling
3,4.6637889900856075,ThompsonSampling
3,3.971799889413561,ThompsonSampling
3,5.718212187802368,ThompsonSampling
3,3.9460709565209493,ThompsonSampling
3,3.2565050458262594,ThompsonSampling
3,3.0669553003584857,ThompsonSampling
3,3.718017728946334,ThompsonSampling
3,4.159737387355881,ThompsonSampling
3,3.740702554055732,ThompsonSampling
3,5.5767666714148305,ThompsonSampling
3,4.364124727482466,ThompsonSampling
3,4.402353707520334,ThompsonSampling
3,4.334915773756758,ThompsonSampling
3,4.075265136527567,ThompsonSampling
3,4.251037417035532,ThompsonSampling
3,4.719456154969137,ThompsonSampling
3,2.8537039514627462,ThompsonSampling
3,5.955197817898846,ThompsonSampling
3,2.148318489948916,ThompsonSampling
3,4.808027450526646,ThompsonSampling
3,3.6504096834951194,ThompsonSampling
3,2.7089686269932125,ThompsonSampling
3,5.004127080955779,ThompsonSampling
3,4.969943321218846,ThompsonSampling
3,4.0632112655231705,ThompsonSampling
3,4.04031526100395,ThompsonSampling
3,3.673026023172656,ThompsonSampling
3,3.8570075932766366,ThompsonSampling
3,4.466564114026185,ThompsonSampling
3,5.069647868664072,ThompsonSampling
3,4.718668899402935,ThompsonSampling
3,2.811514366617161,ThompsonSampling
3,3.3145082914006836,ThompsonSampling
3,6.395386598101967,ThompsonSampling
3,1.860896446586172,ThompsonSampling
3,2.5605951362869828,ThompsonSampling
3,4.249222192312311,ThompsonSampling
3,2.7214952762126985,ThompsonSampling
3,3.492197527747453,ThompsonSampling
3,3.679675043033337,ThompsonSampling
3,2.8163697322057355,ThompsonSampling
3,3.013476409992958,ThompsonSampling
3,3.7281229675410987,ThompsonSampling
3,3.179937930977693,ThompsonSampling
3,4.692515751091922,ThompsonSampling
3,3.3850386914527997,ThompsonSampling
3,3.2528756460478734,ThompsonSampling
3,4.756649612349143,ThompsonSampling
3,2.793630410722772,ThompsonSampling
3,3.0514389955668264,ThompsonSampling
3,5.797031403578203,ThompsonSampling
3,3.7002972003452683,ThompsonSampling
3,5.071777834301528,ThompsonSampling
3,4.36076066490593,ThompsonSampling
3,3.418984332790189,ThompsonSampling
3,3.368404674877002,ThompsonSampling
3,4.101983030478481,ThompsonSampling
3,4.722818346427015,ThompsonSampling
3,3.5020080816537407,ThompsonSampling
3,4.863620896590199,ThompsonSampling
3,2.7143338877174807,ThompsonSampling
3,5.20730382154157,ThompsonSampling
3,6.592479731166451,ThompsonSampling
3,3.192932279511049,ThompsonSampling
3,5.962904919414861,ThompsonSampling
3,2.6105514327708965,ThompsonSampling
3,4.308371119066192,ThompsonSampling
3,4.189437682496836,ThompsonSampling
3,4.350238675986106,ThompsonSampling
3,4.6724266571902096,ThompsonSampling
3,1.9794459429918199,ThompsonSampling
3,1.7581035639917864,ThompsonSampling
3,1.9124053931678482,ThompsonSampling
3,4.675978286277098,ThompsonSampling
3,4.166604991408819,ThompsonSampling
3,3.4515864474492663,ThompsonSampling
3,1.317736995065347,ThompsonSampling
3,2.042291795131498,ThompsonSampling
3,2.499568013156913,ThompsonSampling
3,3.7893988441860564,ThompsonSampling
3,3.1165122088067707,ThompsonSampling
3,5.027296217117451,ThompsonSampling
3,3.1376849652005845,ThompsonSampling
3,4.828082345005034,ThompsonSampling
3,3.908250040559478,ThompsonSampling
1,2.1250835867178903,ThompsonSampling
3,3.528007129744399,ThompsonSampling
3,3.907757876870817,ThompsonSampling
3,2.993323567877246,ThompsonSampling
3,3.389217125296783,ThompsonSampling
3,5.8162820395855475,ThompsonSampling
3,2.9406746331420717,ThompsonSampling
3,4.354583007619127,ThompsonSampling
3,3.66614263059145,ThompsonSampling
3,2.939288889053311,ThompsonSampling
3,4.034335439522838,ThompsonSampling
3,5.1246231868830625,ThompsonSampling
3,4.669545476235106,ThompsonSampling
3,5.3833023873483885,ThompsonSampling
3,4.5152714419309525,ThompsonSampling
3,3.7281063385955013,ThompsonSampling
3,4.415153076386852,ThompsonSampling
3,4.236839023596698,ThompsonSampling
3,3.513269082727796,ThompsonSampling
3,4.226039908078019,ThompsonSampling
3,3.3184418086603973,ThompsonSampling
3,3.764679037061024,ThompsonSampling
3,4.105712115563553,ThompsonSampling
